Plate	Well	medium	dilution_day	rep	OD	tournament	tree	level	how_many	n_C_sources	C1	C2	C3	C4	C5	C6	C7	C8	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	monosaccharide	disaccaride	organic_acid	alcool	polisaccharide	proline	C_F_G_P
1	A1	1	7	a	0.10585	a	a	a	two	2	glucose	proline	no	no	no	no	no	no	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	Y
1	A2	1	7	b	0.105349999	a	a	a	two	2	glucose	proline	no	no	no	no	no	no	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	Y
1	A3	1	7	c	0.104249999	a	a	a	two	2	glucose	proline	no	no	no	no	no	no	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	Y
1	A4	2	7	a	0.089200001	a	a	a	two	2	maltose	fumaric_acid	no	no	no	no	no	no	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	A5	2	7	b	0.100700002	a	a	a	two	2	maltose	fumaric_acid	no	no	no	no	no	no	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	A6	2	7	c	0.095699999	a	a	a	two	2	maltose	fumaric_acid	no	no	no	no	no	no	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	A7	3	7	a	0.096450001	a	a	b	two	2	galacturonic_acid	sucrose	no	no	no	no	no	no	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	A8	3	7	b	0.097750001	a	a	b	two	2	galacturonic_acid	sucrose	no	no	no	no	no	no	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	A9	3	7	c	0.107699998	a	a	b	two	2	galacturonic_acid	sucrose	no	no	no	no	no	no	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
1	A10	4	7	a	0.076850001	a	a	b	two	2	sorbitol	cellulose	no	no	no	no	no	no	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	Y	N	N
1	A11	4	7	b	0.081349999	a	a	b	two	2	sorbitol	cellulose	no	no	no	no	no	no	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	Y	N	N
1	A12	4	7	c	0.074199997	a	a	b	two	2	sorbitol	cellulose	no	no	no	no	no	no	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	Y	N	N
1	B1	5	7	a	0.0876	a	a	a	four	4	glucose	proline	maltose	fumaric_acid	no	no	no	no	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	Y	Y	Y	N	N	Y	Y
1	B2	5	7	b	0.087499999	a	a	a	four	4	glucose	proline	maltose	fumaric_acid	no	no	no	no	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	Y	Y	Y	N	N	Y	Y
1	B3	5	7	c	0.078249998	a	a	a	four	4	glucose	proline	maltose	fumaric_acid	no	no	no	no	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	Y	Y	Y	N	N	Y	Y
1	B4	6	7	a	0.09925	a	a	b	four	4	galacturonic_acid	sucrose	sorbitol	cellulose	no	no	no	no	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	Y	N	N	Y	Y	Y	Y	N	Y
1	B5	6	7	b	0.095299996	a	a	b	four	4	galacturonic_acid	sucrose	sorbitol	cellulose	no	no	no	no	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	Y	N	N	Y	Y	Y	Y	N	Y
1	B6	6	7	c	0.095650002	a	a	b	four	4	galacturonic_acid	sucrose	sorbitol	cellulose	no	no	no	no	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	Y	N	N	Y	Y	Y	Y	N	Y
