Plate	Well	ID	medium	dilution_day	rep	tournament	tree	level	how_many	C_number	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	glucose_c	fructose_c	xylose_c	mannose_c	cellobiose_c	maltose_c	sucrose_c	citric_acid_c	fumaric_acid_c	galacturonic_acid_c	mannitol_c	sorbitol_c	glycerol_c	proline_c	cellulose_c	starch_c
1	A1	1	1	7	a	a	a	a	two	2	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
1	A2	2	1	7	b	a	a	a	two	2	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
1	A3	3	1	7	c	a	a	a	two	2	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
1	A4	4	2	7	a	a	a	a	two	2	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0
1	A5	5	2	7	b	a	a	a	two	2	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0
1	A6	6	2	7	c	a	a	a	two	2	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0
1	A7	7	3	7	a	a	a	b	two	2	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0
1	A8	8	3	7	b	a	a	b	two	2	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0
1	A9	9	3	7	c	a	a	b	two	2	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0
1	A10	10	4	7	a	a	a	b	two	2	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
1	A11	11	4	7	b	a	a	b	two	2	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
1	A12	12	4	7	c	a	a	b	two	2	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
1	B1	13	5	7	a	a	a	a	four	4	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0.25	0	0
1	B2	14	5	7	b	a	a	a	four	4	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0.25	0	0
1	B3	15	5	7	c	a	a	a	four	4	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0.25	0	0
1	B4	16	6	7	a	a	a	b	four	4	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	Y	N	0	0	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0
1	B5	17	6	7	b	a	a	b	four	4	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	Y	N	0	0	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0
1	B6	18	6	7	c	a	a	b	four	4	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	Y	N	0	0	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0
1	B7	19	7	7	a	a	a	c	eight	8	Y	N	N	N	N	Y	Y	N	Y	Y	N	Y	N	Y	Y	N	0.125	0	0	0	0	0.125	0.125	0	0.125	0.125	0	0.125	0	0.125	0.125	0
1	B8	20	7	7	b	a	a	c	eight	8	Y	N	N	N	N	Y	Y	N	Y	Y	N	Y	N	Y	Y	N	0.125	0	0	0	0	0.125	0.125	0	0.125	0.125	0	0.125	0	0.125	0.125	0
1	B9	21	7	7	c	a	a	c	eight	8	Y	N	N	N	N	Y	Y	N	Y	Y	N	Y	N	Y	Y	N	0.125	0	0	0	0	0.125	0.125	0	0.125	0.125	0	0.125	0	0.125	0.125	0
