"","Plate","Well","ID","medium","dilution_day","rep","tournament","tree","level","how_many","C_number","glucose","fructose","xylose","mannose","cellobiose","maltose","sucrose","citric_acid","fumaric_acid","galacturonic_acid","mannitol","sorbitol","glycerol","proline","cellulose","starch","glucose_c","fructose_c","xylose_c","mannose_c","cellobiose_c","maltose_c","sucrose_c","citric_acid_c","fumaric_acid_c","galacturonic_acid_c","mannitol_c","sorbitol_c","glycerol_c","proline_c","cellulose_c","starch_c","FC_number","D0","D1","D2","shannon","FaithPD","OD","D0_family","D0_0.1"
"277001_2_sequence.fastq",1,"A1",1,"1",7,"a","a","a","a","two",2,"Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,"2",18,1.90835998132066,1.57968244324089,0.646244224685524,7.03983306815602,1.0585,10,6
"277002_2_sequence.fastq",1,"A2",2,"1",7,"b","a","a","a","two",2,"Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,"2",12,1.37787565711622,1.18279761567178,0.320542934206771,4.60682810796121,1.05349999,8,3
"277003_2_sequence.fastq",1,"A3",3,"1",7,"c","a","a","a","two",2,"Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,"2",17,1.67554326605861,1.35605124546927,0.516137450636285,6.28795181862411,1.04249999,9,7
"277004_2_sequence.fastq",1,"A4",4,"2",7,"a","a","a","a","two",2,"N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N",0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,"2",15,2.85567431887151,2.33105852102266,1.04930800396639,6.6977808239239,0.89200001,9,9
"277005_2_sequence.fastq",1,"A5",5,"2",7,"b","a","a","a","two",2,"N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N",0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,"2",24,3.91540295559411,2.81111952805992,1.36491825022392,9.0803719905713,1.00700002,15,9
"277006_2_sequence.fastq",1,"A6",6,"2",7,"c","a","a","a","two",2,"N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N",0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,"2",20,2.54229768230747,1.74391551588335,0.933068271460693,31.2508249884742,0.95699999,11,11
"277007_2_sequence.fastq",1,"A7",7,"3",7,"a","a","a","b","two",2,"N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,"2",31,6.54912303391122,4.1851140416966,1.87933115273088,58.8033861909451,0.96450001,14,20
"277008_2_sequence.fastq",1,"A8",8,"3",7,"b","a","a","b","two",2,"N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,"2",27,5.65116569351827,3.00857875049529,1.7318618413147,7.27697891533846,0.97750001,12,18
"277009_2_sequence.fastq",1,"A9",9,"3",7,"c","a","a","b","two",2,"N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,"2",27,2.80109773751318,1.67656730422172,1.03001138946184,8.1784059769925,1.07699998,12,18
"277010_2_sequence.fastq",1,"A10",10,"4",7,"a","a","a","b","two",2,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,"2",27,2.36275507905999,1.49902543535359,0.859828344529908,8.20835045679997,0.76850001,12,17
