media_id	num_cs	met_number
1	2	51
2	2	38
3	2	50
4	2	62
5	4	57
6	4	72
7	8	80
8	2	54
9	2	42
10	2	54
11	2	49
12	4	56
13	4	67
14	8	82
15	2	50
16	2	47
17	2	50
18	2	58
19	4	63
20	4	59
21	8	81
22	2	50
23	2	41
24	2	38
25	2	49
26	4	59
27	4	52
28	8	68
29	2	37
30	2	36
31	2	49
32	2	54
33	4	44
34	4	67
35	8	78
36	2	44
37	2	59
38	2	55
39	2	46
40	4	67
41	4	60
42	8	84
43	1	44
44	1	40
45	1	44
46	1	42
47	1	50
48	1	38
49	1	41
50	1	29
51	1	29
52	1	41
53	1	41
54	1	45
55	1	36
56	1	37
57	1	54
58	1	44
59	15	95
60	15	96
61	15	95
62	15	101
63	15	99
64	15	100
65	15	96
66	15	101
67	15	101
68	15	100
69	15	101
70	15	100
71	15	99
72	15	90
73	15	101
74	15	101
75	16	101
