medium	Ammonia	Pyruvate	2-Oxoglutarate	beta_D-glucose	Acetate	Oxaloacetate	Succinate	Glyoxylate	Phosphoenolpyruvate	beta_D_Fructose_6_phosphate	Sucrose	Succinyl_CoA	beta_D_Glucose_6_phosphate	sn_Glycerol_3_phosphate	D_Fructose	D_Glucose_1_phosphate	Glycerone_phosphate	Glycerol	D_Glyceraldehyde_3_phosphate	Fumarate	Malate	Citrate	D_Mannose	Glycolate	Hydroxypyruvate	Carbamoyl_phosphate	D-Xylose	Dihydroxyacetone	Cellobiose	3_Phospho_D_glycerate	"D-Glucono-1,5-lactone"	D_Ribulose_5_phosphate	2_Dehydro_3-deoxy_D_gluconate	Maltose	D_Xylulose_5_phosphate	Succinate_semialdehyde	"1,3-Bisphospho-D-glycerate"	L-Sorbose	D_Gluconate	D_Glycerate	Glycolaldehyde	D_Mannose_6_phosphate	D_Erythrose_4_phosphate	D-Xylulose	Isocitrate	L-Xylulose	D_Galacturonate	6_Phospho_D_gluconate	D_Fructose_1_6_bisphosphate	Starch	Xylitol	D_Mannitol	2_5_Dioxopentanoate	D-Lyxose	D-Xylonate	D_Tagaturonate	D_Glyceraldehyde	2_Phospho_D_glycerate	D_Mannose_1_phosphate	D_Fructose_2_6_bisphosphate	Dextrine	Cellulose	D_Sorbytol	D_Fructuronate	3_Hydroxypropanal	Cyclomaltodextrine	Trehalose	D_Fructose_1_phosphate	trans_4_Hydroxy_L_proline	"D-Ribulose 1,5-bisphosphate"	alpha_D_Glucose_1_6_bisphosphate	Homocitrate	Cellodextrine	Maltodextrine	Citraconate	3-Oxoadipyl-CoA	"D-Xylono_1,5_lactone"	Citramalate	3-Phosphonooxypyruvate	D_Fructose_2_phosphate	L_Xylulose_5_phosphate	cis_4_Hydroxy_D_proline	2-Dehydro-3-deoxy-D-xylonate	Homo-cis-aconitate	1_Pyrroline_4_hydroxy_2_carboxylate	Malyl-CoA	(4S)_4_6_Dihydroxy_2_5_dioxohexanoate	2_Dehydro_3-deoxy_6-phospho_D_gluconate	Cellobiose_6_phosphate	D_erythro_3_Methylmalate	"2,4_Dihydroxyhept_2_enedioate"	Maltooligosyltrehalose	L_Xylulose_1_phosphate	Galactonate	2_Dehydro_3-deoxy_L_galactonate
43	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
44	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
45	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0
46	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
47	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0
48	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
49	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
50	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
51	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
52	0	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1
