resource	preference	strategy
glucose	0.014925373	Cosmopolitans
glucose	0.152542373	Others
glucose	0.330587024	Others
glucose	0.248747913	Others
glucose	0.370277078	Others
glucose	1	Endemics
glucose	0.259259259	Others
glucose	-1	Others
glucose	0.259259259	Others
glucose	0.311294766	Others
glucose	0.289099526	Others
glucose	-0.048951049	Others
glucose	0.831649832	Endemics
glucose	0.196633512	Others
glucose	0.427480916	Others
glucose	0.014925373	Cosmopolitans
glucose	0.606299213	Endemics
glucose	0.131693198	Cosmopolitans
glucose	0.0625	Endemics
glucose	1	Endemics
glucose	0.183895539	Others
glucose	0.025769956	Cosmopolitans
glucose	-0.19047619	Endemics
glucose	0.152542373	Endemics
glucose	-0.001335113	Cosmopolitans
glucose	0.620801733	Endemics
glucose	1	Endemics
glucose	0.014925373	Cosmopolitans
glucose	0.297188755	Others
glucose	0.462365591	Others
glucose	0.046920821	Others
glucose	0.111584932	Cosmopolitans
glucose	0	Cosmopolitans
glucose	0	Cosmopolitans
glucose	0.325337331	Others
glucose	0.289099526	Endemics
glucose	0.070100143	Others
glucose	0.033149171	Cosmopolitans
glucose	1	Endemics
glucose	1	Endemics
glucose	-0.76056338	Others
glucose	0.133333333	Others
glucose	0.342105263	Others
glucose	0.848942598	Endemics
glucose	0.194729136	Others
glucose	0.17325665	Others
glucose	-0.101321586	Others
fructose	0.014925373	Cosmopolitans
fructose	0.240121581	Others
fructose	0.330587024	Others
fructose	0.248747913	Others
fructose	-0.223491028	Others
fructose	0.311294766	Others
fructose	0.152542373	Endemics
fructose	1	Endemics
fructose	0.206349206	Others
fructose	0.152542373	Others
fructose	-0.263537906	Others
fructose	0.107835531	Others
fructose	0.408284024	Others
fructose	0.152542373	Endemics
fructose	0.408284024	Others
fructose	0.014925373	Cosmopolitans
fructose	-0.492537313	Endemics
fructose	0.289099526	Endemics
fructose	0.152542373	Endemics
fructose	0.299363057	Others
fructose	0.259259259	Endemics
fructose	-0.376146789	Others
fructose	0.025769956	Cosmopolitans
fructose	0.152542373	Endemics
fructose	-0.001335113	Cosmopolitans
fructose	-0.014492754	Endemics
fructose	-0.19047619	Endemics
fructose	-0.001335113	Others
fructose	0.014925373	Cosmopolitans
fructose	0.295774648	Others
