C_number,Gen,Spec,Interm
1,19,5,2
1,19,1,3
1,19,6,3
1,19,8,0
1,19,0,0
1,19,0,0
1,19,3,3
1,19,7,0
1,19,4,1
1,19,4,1
1,19,5,0
1,19,6,1
1,19,1,3
1,19,3,1
1,19,2,4
1,19,2,0
2,19,7,1
2,19,4,1
2,19,6,3
2,19,5,2
2,19,5,4
2,19,3,3
2,19,6,3
2,19,10,1
2,19,10,0
2,19,5,4
2,19,8,1
2,19,4,4
2,19,6,4
2,19,5,0
2,19,4,1
2,19,3,3
2,19,2,0
2,19,5,0
2,19,6,4
2,19,8,1
2,19,5,4
2,19,9,1
2,19,8,3
2,19,3,4
4,19,6,1
4,19,10,4
4,19,5,4
4,19,15,3
4,19,13,3
4,19,9,4
4,19,10,3
4,19,4,4
4,19,7,0
4,19,11,4
4,19,10,4
4,19,9,4
8,19,14,2
8,19,20,4
8,19,22,4
8,19,12,4
8,19,17,4
8,19,17,4
15,19,29,4
15,19,31,4
15,19,32,2
15,19,27,4
15,19,32,4
15,19,32,4
15,19,30,4
15,19,28,4
15,19,29,4
15,19,32,4
15,19,29,4
15,19,28,4
15,19,31,4
15,19,30,4
15,19,30,4
15,19,31,4
16,19,32,4
