C_number,Gen,Spec,Interm
1,19,5,2
1,19,1,3
1,19,6,3
1,19,8,0
1,19,0,0
1,19,0,0
1,19,3,3
1,19,7,0
1,19,4,1
1,19,4,1
1,19,5,0
1,19,6,1
1,19,1,3
1,19,3,1
1,19,2,4
1,19,2,0
2,19,6,4
2,19,6,4
2,19,10,1
2,19,5,1
2,19,5,1
2,19,8,4
2,19,10,1
2,19,8,1
2,19,5,1
2,19,10,1
2,19,9,1
2,19,6,4
2,19,8,1
2,19,7,3
2,19,7,1
2,19,2,3
2,19,6,3
2,19,1,3
2,19,1,3
2,19,4,3
2,19,6,3
2,19,5,4
2,19,5,4
2,19,6,3
2,19,6,4
2,19,2,3
2,19,4,4
2,19,3,4
2,19,3,3
2,19,7,3
2,19,1,3
2,19,1,3
2,19,4,3
2,19,7,3
2,19,5,4
2,19,5,4
2,19,6,3
2,19,6,4
2,19,2,3
2,19,4,4
2,19,3,4
2,19,3,3
2,19,5,0
2,19,5,0
2,19,8,3
2,19,10,0
2,19,9,1
2,19,9,1
2,19,10,0
2,19,10,1
2,19,6,3
2,19,8,1
2,19,7,2
2,19,7,0
2,19,0,0
2,19,3,3
2,19,5,0
2,19,4,1
2,19,4,1
2,19,5,0
2,19,5,1
2,19,1,3
2,19,3,1
2,19,2,2
2,19,2,0
2,19,3,3
2,19,5,0
2,19,4,1
2,19,4,1
2,19,5,0
2,19,5,1
2,19,1,3
2,19,3,1
2,19,2,2
2,19,2,0
2,19,8,3
2,19,7,4
2,19,7,4
2,19,8,3
2,19,8,4
2,19,4,3
2,19,6,4
2,19,5,4
2,19,5,3
2,19,9,1
2,19,9,1
2,19,10,0
2,19,10,1
2,19,6,3
2,19,8,1
2,19,7,2
2,19,7,0
2,19,7,1
2,19,9,1
2,19,9,1
2,19,5,4
2,19,6,1
2,19,6,2
2,19,6,1
2,19,9,1
2,19,8,1
2,19,5,4
2,19,7,1
2,19,6,2
2,19,6,1
2,19,10,1
2,19,6,3
2,19,8,1
2,19,7,2
2,19,7,0
2,19,6,4
2,19,8,1
2,19,7,2
2,19,7,1
2,19,4,4
2,19,3,4
2,19,3,3
